file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,315f4579,vsomani0,2025-04-11,09:40:16,-07:00,2025-04-11T09:40:16-07:00,0,6
style.css,2,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,32
style.css,3,css,315f4579,vsomani0,2025-04-11,09:40:16,-07:00,2025-04-11T09:40:16-07:00,0,0
style.css,4,css,315f4579,vsomani0,2025-04-11,09:40:16,-07:00,2025-04-11T09:40:16-07:00,0,0
style.css,5,css,1e7dbc1b,vsomani0,2025-04-04,08:40:25,-07:00,2025-04-04T08:40:25-07:00,0,5
style.css,6,css,1e7dbc1b,vsomani0,2025-04-04,08:40:25,-07:00,2025-04-04T08:40:25-07:00,0,44
style.css,7,css,1e7dbc1b,vsomani0,2025-04-04,08:40:25,-07:00,2025-04-04T08:40:25-07:00,0,43
style.css,8,css,1e7dbc1b,vsomani0,2025-04-04,08:40:25,-07:00,2025-04-04T08:40:25-07:00,0,1
style.css,9,css,1e7dbc1b,vsomani0,2025-04-04,08:40:25,-07:00,2025-04-04T08:40:25-07:00,0,24
style.css,10,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,0
style.css,11,css,315f4579,vsomani0,2025-04-11,09:40:16,-07:00,2025-04-11T09:40:16-07:00,0,1
style.css,12,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,70
style.css,13,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,33
style.css,14,css,315f4579,vsomani0,2025-04-11,09:40:16,-07:00,2025-04-11T09:40:16-07:00,0,50
style.css,15,css,a7cf0fb5,vsomani0,2025-04-18,12:57:49,-07:00,2025-04-18T12:57:49-07:00,0,1
style.css,16,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,5
style.css,17,css,a7cf0fb5,vsomani0,2025-04-18,12:57:49,-07:00,2025-04-18T12:57:49-07:00,0,16
style.css,18,css,a7cf0fb5,vsomani0,2025-04-18,12:57:49,-07:00,2025-04-18T12:57:49-07:00,0,43
style.css,19,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,0
style.css,20,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,6
style.css,21,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,32
style.css,22,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,0
style.css,23,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,4
